Wall time,Step,Value
1772336742.5750175,1,4.188913345336914
1772336774.4078221,2,3.6405115127563477
1772336802.968576,3,3.7976574897766113
1772336831.8470035,4,4.306399822235107
1772336860.401812,5,4.5061354637146
1772336888.9442139,6,3.1418468952178955
1772336918.0886579,7,1.8838118314743042
1772336951.9781208,8,1.8590328693389893
1772336986.6772692,9,1.9017502069473267
1772337019.3872912,10,2.1713931560516357
1772337052.316772,11,2.4896135330200195
1772337084.4264104,12,2.0623505115509033
1772337113.7450595,13,2.0415170192718506
1772337142.2180073,14,1.9634711742401123
1772337171.09441,15,1.925541877746582
1772337199.8145201,16,1.7948061227798462
1772337228.5410743,17,1.8828548192977905
1772337257.2082014,18,1.8858730792999268
1772337285.812897,19,1.9382246732711792
1772337314.6471395,20,1.888853907585144
1772337346.772529,21,1.9266477823257446
1772337380.036736,22,2.2126336097717285
1772337410.9754517,23,2.0991997718811035
1772337443.6293597,24,2.152913808822632
1772337475.4322627,25,2.0294883251190186
1772337507.2978718,26,2.1345009803771973
1772337538.375583,27,2.1035425662994385
1772337571.0445573,28,2.0492911338806152
1772337601.9533675,29,2.0749402046203613
1772337633.176432,30,1.9767731428146362
1772337665.0794728,31,2.09261155128479
1772337696.9879045,32,2.1166510581970215
1772337728.2542684,33,2.05635142326355
1772337759.4153247,34,2.1170122623443604
1772337790.5818348,35,1.9612212181091309
1772337821.9228535,36,2.0491726398468018
1772337853.9228523,37,2.141929864883423
1772337885.147563,38,2.1364779472351074
1772337916.7237954,39,2.0498790740966797
1772337948.1115873,40,1.9778025150299072
1772337980.8965209,41,2.11775541305542
1772338012.187926,42,2.1623945236206055
1772338043.5415792,43,1.9460479021072388
1772338074.8597476,44,2.1144015789031982
1772338104.900379,45,2.1889824867248535
1772338135.8426406,46,2.0878748893737793
1772338167.2514584,47,2.2973811626434326
1772338198.8693717,48,2.2665417194366455
1772338231.4007528,49,2.2803890705108643
1772338264.2426903,50,2.202324628829956
1772338299.0418928,51,2.1431665420532227
1772338332.5865023,52,2.2642033100128174
1772338365.3960202,53,2.1432394981384277
1772338398.1122763,54,2.096479892730713
1772338431.2358153,55,2.2628707885742188
1772338462.342136,56,2.2529754638671875
1772338492.8200862,57,2.151855230331421
1772338520.960062,58,2.066303253173828
1772338551.653153,59,2.185861349105835
1772338580.8715055,60,2.33219051361084
1772338611.1333833,61,2.370929479598999
1772338640.2516408,62,2.248483419418335
1772338668.4358742,63,2.1518566608428955
1772338697.9540226,64,2.2689473628997803
1772338727.3772736,65,2.4187512397766113
1772338756.78891,66,2.428781509399414
1772338788.3432267,67,2.1725869178771973
1772338819.953364,68,2.193039894104004
1772338850.9499016,69,2.3060972690582275
1772338881.0649023,70,2.3391363620758057
1772338911.7989132,71,2.3669495582580566
1772338943.1017296,72,2.3870649337768555
1772338974.8014483,73,2.219552516937256
1772339004.764795,74,2.366690158843994
1772339034.6517456,75,2.4020676612854004
1772339064.5875933,76,2.35968017578125
1772339094.710178,77,2.4803287982940674
1772339124.7007947,78,2.402569532394409
1772339154.972844,79,2.538456678390503
1772339185.158136,80,2.5386760234832764
1772339216.001008,81,2.6202661991119385
1772339246.061661,82,2.411130666732788
1772339275.950721,83,2.4929325580596924
1772339305.554123,84,2.565286159515381
1772339333.8809721,85,2.5945396423339844
1772339364.596341,86,2.652590751647949
1772339395.0929437,87,2.7356479167938232
1772339425.7811673,88,2.6566195487976074
1772339456.4395363,89,2.5407254695892334
1772339486.6392272,90,2.761819839477539
1772339517.6956437,91,2.690103054046631
1772339547.8804352,92,2.471015691757202
1772339577.8358703,93,2.96622371673584
1772339607.9319735,94,2.5737032890319824
1772339638.3010063,95,2.8795430660247803
1772339667.9196074,96,2.9951820373535156
1772339697.1270068,97,2.620241403579712
1772339727.4168909,98,2.880523443222046
1772339757.465569,99,2.5912909507751465
1772339787.648178,100,2.813825845718384
1772339819.8236644,101,2.9393463134765625
1772339849.4709306,102,2.9997103214263916
1772339879.3382375,103,2.785024881362915
1772339909.629348,104,2.716291904449463
1772339939.3499036,105,2.553457736968994
1772339969.3575985,106,2.764636993408203
1772339998.135726,107,2.8123583793640137
1772340027.8115325,108,2.812413454055786
1772340057.173654,109,3.0281152725219727
1772340086.7173193,110,2.8151357173919678
1772340116.5821314,111,2.8236029148101807
1772340145.8904333,112,2.6224188804626465
1772340175.2199988,113,3.022489070892334
1772340204.8681316,114,2.9172463417053223
1772340235.2792525,115,2.539067268371582
1772340265.5780215,116,2.715411901473999
1772340295.1110868,117,2.6837215423583984
1772340324.8948336,118,2.920048475265503
1772340354.4870965,119,2.874042510986328
1772340384.05616,120,2.744870662689209
1772340414.5639832,121,2.9575283527374268
1772340444.114859,122,3.0813374519348145
1772340473.7332628,123,2.7609751224517822
1772340503.1737132,124,2.947754383087158
1772340532.7815073,125,2.9686012268066406
1772340561.4233723,126,3.035593271255493
1772340589.7317255,127,3.2626919746398926
1772340619.681584,128,3.4021716117858887
1772340649.559467,129,3.1094770431518555
1772340679.527589,130,3.2567059993743896
1772340711.1356037,131,3.2800800800323486
1772340741.3036654,132,2.905137538909912
1772340771.508439,133,2.9534099102020264
1772340801.1521807,134,3.1087913513183594
1772340831.7836149,135,3.1054129600524902
1772340862.2423038,136,3.2048752307891846
1772340892.6585956,137,3.061192035675049
1772340922.974259,138,3.2884178161621094
1772340953.1623209,139,3.0996625423431396
1772340983.2183154,140,3.2285425662994385
1772341012.6742952,141,3.141200542449951
1772341041.5878518,142,3.0093793869018555
1772341071.1553001,143,3.260308027267456
1772341100.3778667,144,3.001255750656128
1772341129.9180238,145,3.235349655151367
1772341159.3665159,146,3.245926856994629
1772341188.9145725,147,3.093902587890625
1772341218.4953945,148,3.1785337924957275
1772341247.8185833,149,3.1575467586517334
1772341277.1351337,150,3.2867562770843506
1772341308.417721,151,2.9556291103363037
1772341337.8475196,152,3.127136707305908
1772341367.3843722,153,3.0169689655303955
1772341396.7056699,154,3.048945426940918
1772341426.1281013,155,3.4417998790740967
1772341456.1665719,156,3.4497952461242676
1772341486.4363496,157,3.4444289207458496
1772341516.9333065,158,3.159733295440674
1772341547.2583067,159,3.316021203994751
1772341577.816844,160,3.038709878921509
1772341610.29557,161,3.2625038623809814
1772341641.5649042,162,3.2275331020355225
1772341672.8568847,163,2.9433887004852295
1772341704.4514244,164,3.8452680110931396
1772341735.938284,165,3.2542638778686523
1772341767.1355836,166,3.363476276397705
1772341797.0979664,167,3.33819580078125
1772341827.1232178,168,3.476816415786743
1772341857.048082,169,3.4715092182159424
1772341887.1508837,170,3.6617720127105713
1772341918.3551822,171,3.171398639678955
1772341948.8774195,172,3.499099016189575
1772341978.8014052,173,3.209667682647705
1772342008.6495423,174,3.4081311225891113
1772342038.6501799,175,3.3039755821228027
1772342068.6672938,176,3.600679636001587
1772342098.7401555,177,3.8275949954986572
1772342128.846604,178,3.9284329414367676
1772342159.4602048,179,3.7101547718048096
1772342192.3673642,180,3.5821948051452637
1772342224.7385085,181,3.715442657470703
1772342255.5129466,182,3.6286509037017822
1772342285.541122,183,3.596452236175537
1772342313.6115222,184,3.6585733890533447
1772342341.6730702,185,3.4608054161071777
1772342369.6527326,186,3.525324821472168
1772342397.8022757,187,3.463099479675293
1772342425.940281,188,3.2579405307769775
1772342455.9376867,189,3.6360409259796143
1772342486.1491911,190,3.5024874210357666
1772342517.5728383,191,3.6689155101776123
1772342547.969409,192,3.4764137268066406
1772342578.3965514,193,3.836456775665283
1772342610.0812113,194,3.8722612857818604
1772342640.2512054,195,3.6066019535064697
1772342670.5625188,196,3.8320810794830322
1772342700.5516915,197,3.4854815006256104
1772342730.749418,198,3.723226308822632
1772342760.7112708,199,3.879242420196533
1772342790.9436903,200,3.3551182746887207
1772342822.7757766,201,3.321993827819824
1772342853.2129061,202,3.6053755283355713
1772342882.9851546,203,3.7807202339172363
1772342911.7598329,204,3.7310807704925537
1772342941.9560862,205,3.9816460609436035
1772342972.1675382,206,4.025522232055664
1772343002.3406222,207,3.5424814224243164
1772343032.4550798,208,3.748903751373291
1772343062.6359046,209,3.7585628032684326
1772343092.8946438,210,3.698089361190796
1772343124.094309,211,3.6850481033325195
1772343154.2754254,212,3.6471188068389893
1772343183.5037436,213,3.3673031330108643
1772343214.0175986,214,3.849363088607788
1772343244.0972898,215,3.621899366378784
1772343274.3120031,216,3.703141689300537
1772343304.6795177,217,3.6606364250183105
1772343334.811245,218,3.5691041946411133
1772343365.0571246,219,3.9557104110717773
1772343395.5307896,220,3.6301794052124023
1772343426.250203,221,4.025184631347656
1772343456.2140682,222,4.027663707733154
1772343487.1880102,223,3.9275333881378174
1772343518.6456265,224,3.62329363822937
1772343547.9967043,225,3.3247201442718506
1772343577.7569053,226,3.8366503715515137
1772343607.4222171,227,4.006566047668457
1772343637.5383217,228,4.008884429931641
1772343667.7796314,229,3.6523847579956055
